Epoch: [2][0/1500]	 Time 9.502 (9.502)	 Loss 0.020928 (0.020928)
Epoch: [2][60/1500]	 Time 0.273 (0.428)	 Loss 0.017399 (0.017297)
Epoch: [2][120/1500]	 Time 0.278 (0.354)	 Loss 0.015624 (0.017605)
Epoch: [2][180/1500]	 Time 0.280 (0.329)	 Loss 0.017497 (0.017625)
Epoch: [2][240/1500]	 Time 0.282 (0.317)	 Loss 0.012847 (0.017620)
Epoch: [2][300/1500]	 Time 0.284 (0.310)	 Loss 0.010976 (0.017593)
Epoch: [2][360/1500]	 Time 0.289 (0.306)	 Loss 0.015143 (0.017583)
Epoch: [2][420/1500]	 Time 0.285 (0.304)	 Loss 0.020600 (0.017587)
Epoch: [2][480/1500]	 Time 0.289 (0.301)	 Loss 0.022076 (0.017476)
Epoch: [2][540/1500]	 Time 0.287 (0.300)	 Loss 0.021352 (0.017483)
Epoch: [2][600/1500]	 Time 0.287 (0.299)	 Loss 0.017131 (0.017375)
Epoch: [2][660/1500]	 Time 0.287 (0.298)	 Loss 0.012082 (0.017391)
Epoch: [2][720/1500]	 Time 0.287 (0.297)	 Loss 0.014601 (0.017424)
Epoch: [2][780/1500]	 Time 0.287 (0.296)	 Loss 0.012800 (0.017366)
Epoch: [2][840/1500]	 Time 0.288 (0.295)	 Loss 0.015508 (0.017333)
Epoch: [2][900/1500]	 Time 0.286 (0.295)	 Loss 0.016624 (0.017364)
Epoch: [2][960/1500]	 Time 0.286 (0.295)	 Loss 0.019042 (0.017369)
Epoch: [2][1020/1500]	 Time 0.288 (0.294)	 Loss 0.024840 (0.017337)
Epoch: [2][1080/1500]	 Time 0.287 (0.294)	 Loss 0.016233 (0.017333)
Epoch: [2][1140/1500]	 Time 0.288 (0.294)	 Loss 0.017909 (0.017347)
Epoch: [2][1200/1500]	 Time 0.291 (0.293)	 Loss 0.015409 (0.017377)
Epoch: [2][1260/1500]	 Time 0.289 (0.293)	 Loss 0.013059 (0.017378)
Epoch: [2][1320/1500]	 Time 0.289 (0.293)	 Loss 0.013987 (0.017369)
Epoch: [2][1380/1500]	 Time 0.291 (0.293)	 Loss 0.018411 (0.017387)
Epoch: [2][1440/1500]	 Time 0.288 (0.292)	 Loss 0.021614 (0.017386)
Val/Test: [0/375]	 Time 1.023 (1.023)	 Loss 0.023259 (0.023259)
Val/Test: [60/375]	 Time 0.276 (0.288)	 Loss 0.020009 (0.018936)
Val/Test: [120/375]	 Time 0.277 (0.282)	 Loss 0.018368 (0.018540)
Val/Test: [180/375]	 Time 0.277 (0.280)	 Loss 0.015917 (0.018581)
Val/Test: [240/375]	 Time 0.276 (0.279)	 Loss 0.020284 (0.018541)
